page_number,extracted_urls
6,/-/es/Acer-port%C3%A1til-gr%C3%A1ficos-retroiluminado-Accesorios/dp/B08B3S21WQ
6,/-/es/SkyTech-Computadora-escritorio-videojuegos-n%C3%BAcleos/dp/B07RG8KM2C
6,/-/es/Apple-iPad-10-2-pulgadas-Wi-Fi/dp/B08264XHCZ
6,/-/es/Pantalla-pulgadas-procesador-Bluetooth-renovado/dp/B08F3TNHFJ
6,/-/es/Pavilion-convertible-i5-1035G1-Bluetooth-dactilares/dp/B08B3X4L95
6,/-/es/Pavilion-X360-convertible-generaci%C3%B3n-i3-1005G1/dp/B08CDTP2Q1
6,/-/es/convertible-Ultrabook-procesador-compatible-extensi%C3%B3n/dp/B07RQ846B9
6,/-/es/Apple-iPad-Mini-4-restaurado/dp/B07CFWLW3G
6,/-/es/Android-pulgadas-pantalla-procesador-n%C3%BAcleos/dp/B087BC4DJH
7,/-/es/Computadora-HP-Stream-procesador-Bluetooth/dp/B07WZHW2J3
7,/-/es/GL10DH-Desktop-GeForce-Windows-GL10DH-AH762/dp/B07X1TZT85
7,/-/es/ENVY-port%C3%A1til-procesador-retroiluminado-Nightfall/dp/B08966H6XJ
7,/-/es/MacBook-pulgadas-MF840LL-memoria-renovada/dp/B077QWM132
7,/-/es/Venturer-Wonder-Android-parachoques-almacenamiento/dp/B08Q3MV7P6
7,/-/es/Aspire-ordenador-port%C3%A1til-retroiluminado-Bluetooth/dp/B089FBPRJK
7,/-/es/Thinkpad-E15-Parent-Negro-teclado/dp/B086MTSCLQ
7,/-/es/Laptop-Alienware-pulgadas-i7-10750H-generaci%C3%B3n/dp/B0897ZBRQR
7,/-/es/Computadora-Chromebook-CB1C13-procesador-operativo/dp/B084YQ7BFZ
7,/-/es/HP-port%C3%A1til-14-fq0032ms-estudiantes-procesador/dp/B08QHH5BZR
7,/-/es/RZ09-0367BEC3-R3U1/dp/B08SJJ9MQ5
7,/-/es/Pantalla-procesador-duraci%C3%B3n-operativo-NP930XCJ-K01US/dp/B085D2LBNM
7,/-/es/aprendizaje-educaci%C3%B3n-aplicaciones-pre-instalado-contenido/dp/B07Z471PT7
